Frame,X,Y,Z
1,0.000,0.000,2.750
2,0.000,0.021,2.750
3,0.000,0.082,2.750
4,0.000,0.179,2.750
5,0.000,0.311,2.750
6,0.000,0.474,2.750
7,0.000,0.664,2.750
8,0.000,0.880,2.750
9,0.000,1.118,2.750
10,0.000,1.375,2.750
11,0.000,1.648,2.750
12,0.000,1.935,2.750
13,0.000,2.232,2.750
14,0.000,2.536,2.750
15,0.000,2.845,2.750
16,0.000,3.155,2.750
17,0.000,3.464,2.750
18,0.000,3.768,2.750
19,0.000,4.065,2.750
20,0.000,4.352,2.750
21,0.000,4.625,2.750
22,0.000,4.882,2.750
23,0.000,5.120,2.750
24,0.000,5.336,2.750
25,0.000,5.526,2.750
26,0.000,5.689,2.750
27,0.000,5.821,2.750
28,0.000,5.918,2.750
29,0.000,5.979,2.750
30,0.000,6.000,2.750
31,0.000,6.000,2.750
32,0.000,6.000,2.750
33,0.000,6.000,2.750
34,0.000,6.000,2.750
35,0.000,6.000,2.750
